cell	metric	cgi	historical_days_available	insufficient_history	activity_criteria	modulator_kpi	value_modulator_kpi	insufficient_rops	num_rops_available	timestamp	timespan	year	month	day
EL_ENCINAR_CT_370005601_033	pct_nsa_data_bcr	2,1407E+14	null	false	true	nr_add_attempts >= 4000	72	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
EL_ENCINAR_CT_370005601_033	pct_volte_dcr	2,1407E+14	null	false	true	lte_volte_calls >= 500	20	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
SC_FE_MAGDALENA_159_150065901_012	avg_cell_dl_throughput	2,1407E+14	null	false	true	avg_cell_dl_throughput <= 3000	2.052.720.729.680.440	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
SC_FE_MAGDALENA_159_150065901_012	avg_cell_ul_throughput	2,1407E+14	null	false	true	avg_cell_ul_throughput <= 800	33.601.989.585.173.200	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
SC_FE_MAGDALENA_159_150065901_012	pct_bcr	2,1407E+14	null	false	true	lte_rrc_attempts >= 20000	9716	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
SC_FE_MAGDALENA_159_150065901_012	pct_bcr_volte	2,1407E+14	null	false	true	lte_volte_calls >= 500	52	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
SC_FE_MAGDALENA_159_150065901_012	pct_nsa_data_bcr	2,1407E+14	null	false	true	nr_add_attempts >= 4000	198	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
SC_FE_MAGDALENA_159_150065901_012	pct_volte_dcr	2,1407E+14	null	false	true	lte_volte_calls >= 500	52	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
SC_FE_MAGDALENA_159_150065901_012	volte_traffic_er	2,1407E+14	null	false	true	volte_traffic_er <= 0.5	0.8686111111111111	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
VALDERROJUELOS_400008901_011	avg_cell_dl_throughput	2,1407E+14	null	false	true	avg_cell_dl_throughput <= 3000	7.402.530.226.022.490	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
VALDERROJUELOS_400008901_011	avg_cell_ul_throughput	2,1407E+14	null	false	true	avg_cell_ul_throughput <= 800	1.248.301.762.775.590	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
VALDERROJUELOS_400008901_011	pct_bcr	2,1407E+14	null	false	true	pct_bcr_volte >= 3	0	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
VALDERROJUELOS_400008901_011	pct_bcr_volte	2,1407E+14	null	false	true	lte_volte_calls >= 500	275	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
VALDERROJUELOS_400008901_011	pct_nsa_data_bcr	2,1407E+14	null	false	true	nr_add_attempts >= 4000	1472	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
VALDERROJUELOS_400008901_011	pct_volte_dcr	2,1407E+14	null	false	true	lte_volte_calls >= 500	275	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
VALDERROJUELOS_400008901_011	volte_traffic_er	2,1407E+14	null	false	true	volte_traffic_er <= 0.5	14.823.055.555.555.500	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
